fleet_vehicle_id,fleet_id,cycle_number,created_at,retired_at
307,92701,14072,2023-08-02 22:35:44.0,
8575221 Old Castle ,92662,13827,2023-08-03 12:26:10.0,
8643,16215,3276,2023-08-03 13:17:38.0,
218774,63808,8676,2023-08-03 14:29:35.0,
35821,92756,15454,2023-08-03 14:56:16.0,
453797,92667,15453,2023-08-03 15:24:08.0,
20038,92756,14586,2023-08-03 17:21:21.0,
53714,92756,14611,2023-08-03 19:09:17.0,
8575143 Rental ,92662,13831,2023-08-03 19:16:43.0,
389,92701,13439,2023-08-03 21:34:36.0,
20042,92756,14589,2023-08-03 22:33:24.0,
9132,16215,15487,2023-08-04 13:17:50.0,
10910,92746,14610,2023-08-04 13:30:46.0,
80667,92756,14616,2023-08-04 14:57:52.0,
5663,5457,14554,2023-08-04 17:21:55.0,
83567,92756,14623,2023-08-04 17:35:46.0,
10776,92746,14599,2023-08-04 18:47:20.0,
393,92701,14060,2023-08-04 23:29:24.0,
8575209 Rental ,92662,9826,2023-08-05 15:36:48.0,
9133,16215,2497,2023-08-07 14:22:14.0,
53712,92756,14575,2023-08-07 15:14:42.0,
20010,16215,11439,2023-08-07 15:53:34.0,
204796,92756,14615,2023-08-07 19:09:14.0,
990024VOL,92743,4789,2023-08-08 05:34:31.0,2023-12-07 06:38:35.0
5666,5457,14442,2023-08-08 12:14:01.0,
77570,92756,14432,2023-08-08 14:45:24.0,
4053,59235,11417,2023-08-08 15:36:37.0,
1167,92723,12170,2023-08-08 16:54:52.0,
5755,5457,14545,2023-08-08 16:59:37.0,
430,92749,13703,2023-08-08 17:07:01.0,
J23829,92758,15197,2023-08-09 16:14:42.0,
63926,92756,14613,2023-08-09 16:53:50.0,
339,92701,14055,2023-08-09 17:57:48.0,
8575222 Old Castle ,92662,9789,2023-08-09 19:25:54.0,
5475,98,13978,2023-08-09 19:59:22.0,
J24809,92758,15195,2023-08-09 20:06:56.0,
J23839,92758,15192,2023-08-09 20:46:53.0,
49346,92756,15375,2023-08-10 23:54:23.0,
4054,59235,11216,2023-08-11 00:38:33.0,
8575020 Centimark ,92662,15639,2023-08-11 05:02:08.0,
49347,92756,15368,2023-08-11 06:54:43.0,
49355,92756,15369,2023-08-11 08:16:02.0,
49349,92756,15371,2023-08-11 08:53:17.0,
49354,92756,15131,2023-08-11 10:03:05.0,
49352,92756,15374,2023-08-11 10:36:35.0,
49358,92756,15354,2023-08-11 11:21:52.0,
49361,92756,15244,2023-08-11 12:20:57.0,
49356,92756,15399,2023-08-11 12:29:41.0,
49360,92756,15394,2023-08-11 12:57:33.0,
453786,92667,12139,2023-08-11 15:09:21.0,
J23324,92758,15162,2023-08-11 15:19:55.0,
49363,92756,15457,2023-08-11 15:28:35.0,
8575218 Old Castle ,92662,13468,2023-08-11 15:29:26.0,
49340,92756,15435,2023-08-11 15:34:54.0,
49362,92756,15373,2023-08-11 15:44:43.0,
49341,92756,15397,2023-08-11 16:03:11.0,
49350,92756,15431,2023-08-11 18:37:01.0,
49359,92756,15381,2023-08-11 18:46:33.0,
J24817,92758,15160,2023-08-11 18:54:19.0,
49343,92756,15438,2023-08-11 19:21:32.0,
8575050 Spring Creek ,92662,15678,2023-08-11 19:35:24.0,
49342,92756,15433,2023-08-11 20:17:05.0,
49357,92756,15372,2023-08-11 20:42:40.0,
J24803,92758,15190,2023-08-11 21:12:24.0,
49344,92756,15367,2023-08-11 21:34:46.0,
49353,92756,15440,2023-08-11 22:12:38.0,
49345,92756,15398,2023-08-11 22:36:11.0,
49351,92756,15322,2023-08-11 22:51:14.0,
8218GONCALVES,92759,15462,2023-08-12 19:35:56.0,
471505,92697,10945,2023-08-14 13:29:44.0,
R41620,82,2727,2023-08-14 15:59:42.0,
53715,92756,14564,2023-08-14 16:18:52.0,
J24830,92758,15164,2023-08-14 18:13:33.0,
3059,59235,15711,2023-08-14 18:59:51.0,
240,92673,13867,2023-08-14 19:19:04.0,
8575219 Old Castle ,92662,13449,2023-08-14 20:42:21.0,
91317,92756,14566,2023-08-14 20:48:56.0,
47370,92756,14568,2023-08-14 21:12:22.0,
9135,16215,3252,2023-08-15 16:22:28.0,
49348,92756,15666,2023-08-15 17:34:38.0,
391,92701,13433,2023-08-15 23:49:23.0,
471540,92697,10865,2023-08-16 11:33:49.0,
3060,59235,15744,2023-08-16 14:08:09.0,2023-11-15 22:14:00.0
9136,16215,3069,2023-08-16 14:28:31.0,
8575225 Old Castle ,92662,13929,2023-08-16 15:44:27.0,
3060,59235,5687,2023-08-16 15:45:00.0,
453785,92667,13236,2023-08-16 20:41:24.0,
311,92701,14017,2023-08-16 21:02:52.0,
9124,16215,2681,2023-08-16 21:36:11.0,
4350_!Z82897,98,11351,2023-08-17 12:13:42.0,
5672,5457,15767,2023-08-17 14:00:56.0,
8575224 Old Castle ,92662,13784,2023-08-17 15:51:46.0,
9134,16215,2417,2023-08-17 16:09:03.0,
8575019 Centimark ,92662,12515,2023-08-17 17:11:22.0,
309,92701,14015,2023-08-17 17:57:19.0,
90998,92756,14553,2023-08-17 18:29:22.0,
3061,59235,15775,2023-08-17 19:39:28.0,
5180,92732,13950,2023-08-17 20:36:34.0,
5179,92732,13946,2023-08-17 20:45:12.0,
5664,5457,14443,2023-08-18 12:51:58.0,
9137,16215,3161,2023-08-18 14:54:13.0,
9138,16215,2550,2023-08-18 15:03:55.0,
337,92701,14014,2023-08-18 17:46:38.0,
8575252 NAVM ,92662,13825,2023-08-18 19:05:43.0,
3062,59235,5745,2023-08-18 20:42:09.0,
9139,16215,2586,2023-08-18 20:44:34.0,
MIATA,354,11452,2023-08-18 21:03:33.0,
9141,16215,5152,2023-08-18 21:28:17.0,
8575254 NAVM ,92662,13828,2023-08-19 18:34:57.0,
9142,16215,11419,2023-08-21 14:28:50.0,
9143,16215,4644,2023-08-21 15:03:06.0,
496631,92667,13948,2023-08-21 18:25:37.0,
13658,92756,14608,2023-08-21 20:08:14.0,
249184,92607,14023,2023-08-22 10:42:07.0,
9144,16215,5318,2023-08-22 15:15:39.0,
8575255 NAVM ,92662,13856,2023-08-22 17:35:51.0,
453774,92667,12153,2023-08-22 19:08:15.0,
PROD2308,92698,10645,2023-08-23 08:50:35.0,2023-08-30 13:09:46.0
8575250 NAVM,92662,13932,2023-08-23 13:34:26.0,
9145,16215,11441,2023-08-23 15:07:53.0,
266,92626,13786,2023-08-23 15:38:20.0,
9571942,83,14703,2023-08-23 16:28:44.0,
453792,92667,13234,2023-08-23 17:51:05.0,
9146,16215,11406,2023-08-23 19:59:05.0,
622004,0,15318,2023-08-23 20:34:44.0,
327,92701,14054,2023-08-23 21:29:32.0,
892483,0,14409,2023-08-23 21:51:38.0,
474,92734,13187,2023-08-23 22:34:01.0,
122448,0,14625,2023-08-24 02:04:54.0,
5752,5457,13653,2023-08-24 11:07:51.0,
496630,92667,13962,2023-08-24 12:41:42.0,
8575226 Old Castle ,92662,15993,2023-08-24 13:19:37.0,
8271066,92667,14702,2023-08-24 14:48:28.0,
1461419,92666,14457,2023-08-24 15:15:45.0,
5747,5457,14408,2023-08-24 16:50:52.0,
8575223 Old Castle ,92662,16044,2023-08-24 18:08:10.0,
9148,16215,16042,2023-08-24 19:23:21.0,
5738,5457,14438,2023-08-24 19:47:48.0,
876593,0,14632,2023-08-24 20:48:36.0,
8271067,92667,14730,2023-08-24 22:32:12.0,
2314,92732,13952,2023-08-24 22:40:58.0,
892484,0,14640,2023-08-24 23:12:46.0,
5746,5457,14416,2023-08-25 11:38:56.0,
4060,59235,9151,2023-08-25 16:44:46.0,
8575253 NAVM,92662,16090,2023-08-25 17:30:53.0,
9140,16215,11420,2023-08-25 17:37:16.0,
9571962,83,14683,2023-08-25 17:37:50.0,
2087,92699,11368,2023-08-25 17:54:33.0,
496607,92667,14709,2023-08-25 19:39:00.0,
9149,16215,16141,2023-08-25 20:42:07.0,
TEST,354,10880,2023-08-25 21:11:35.0,
385,92701,14067,2023-08-25 23:08:17.0,
8271068,92667,14455,2023-08-26 01:03:14.0,
9571807,83,12519,2023-08-26 14:17:10.0,
5134,92732,13907,2023-08-27 13:57:28.0,
5340,92652,16037,2023-08-28 14:02:53.0,
5321,92652,15947,2023-08-28 14:24:21.0,
J23347,92758,15167,2023-08-28 15:23:26.0,
9150,16215,12561,2023-08-28 16:46:36.0,
8575214  Rental ,92662,16227,2023-08-28 16:55:10.0,
5673,5457,14552,2023-08-28 17:27:53.0,
J23247,92758,15187,2023-08-28 18:32:45.0,
J23315,92758,15182,2023-08-28 21:47:12.0,
1UIPTVXN,92763,15493,2023-08-28 22:13:33.0,
5681,5457,14546,2023-08-29 11:11:56.0,
249185,92607,14005,2023-08-29 13:16:16.0,
5345,92652,16276,2023-08-29 13:31:35.0,
9147,16215,11425,2023-08-29 13:41:11.0,
5220,92652,16313,2023-08-29 15:44:17.0,
8575227 Rental/Evergreen ,92662,16348,2023-08-29 17:32:03.0,
5312,92652,16353,2023-08-29 18:16:22.0,
5680,5457,14556,2023-08-29 18:45:52.0,
9151,16215,5723,2023-08-29 18:51:31.0,
5682,5457,14558,2023-08-29 19:46:50.0,
9153,16215,12557,2023-08-29 20:16:26.0,
122454,0,14645,2023-08-29 23:38:33.0,
122038,0,7211,2023-08-29 23:46:16.0,
249183,92607,14007,2023-08-30 11:01:17.0,
PROD3008,92698,10645,2023-08-30 13:51:09.0,2023-09-04 09:24:57.0
8575251 NAVM,92662,13455,2023-08-30 14:33:59.0,
4061,59235,12563,2023-08-30 16:36:36.0,
J23306,92758,15196,2023-08-30 17:46:53.0,
8575262 Kilgore,92662,15743,2023-08-30 18:06:15.0,
321721,0,7814,2023-08-30 18:25:36.0,
5269,92652,6297,2023-08-30 18:41:11.0,
122427,0,14642,2023-08-30 19:44:57.0,
9155,16215,11427,2023-08-30 20:54:46.0,
J23828,92758,15166,2023-08-30 21:14:55.0,
892486,0,14641,2023-08-30 21:35:13.0,
9154,16215,11431,2023-08-31 14:32:14.0,
325,92701,14064,2023-08-31 18:28:35.0,
9152,16215,11430,2023-08-31 19:13:23.0,
5739,5457,14406,2023-08-31 20:01:59.0,
5749,5457,14390,2023-08-31 20:54:40.0,
8271063,92667,16524,2023-08-31 21:48:30.0,
496616,92667,15718,2023-09-01 14:03:29.0,
8575228 Rental/Reserve Equip. ,92662,15758,2023-09-01 15:13:10.0,
5667,5457,14407,2023-09-01 19:02:01.0,
496615,92667,14728,2023-09-01 19:36:41.0,
305,92701,14045,2023-09-01 20:01:37.0,
8271064,92667,15724,2023-09-01 21:19:40.0,
8271065,92667,15729,2023-09-02 21:13:20.0,
PROD0409,92698,10645,2023-09-04 09:26:13.0,2023-09-04 10:51:41.0
PROD04092,92698,10645,2023-09-04 10:49:52.0,2023-09-04 14:10:23.0
PROD04082,92698,10645,2023-09-04 14:11:55.0,2023-10-30 13:58:25.0
8575140 Rental ,92662,15756,2023-09-05 13:13:05.0,
4062,59235,11197,2023-09-05 16:45:00.0,
J23343,92758,15203,2023-09-05 17:47:57.0,
8575141 Rental ,92662,15825,2023-09-05 18:01:36.0,
496640,92667,15697,2023-09-05 18:58:10.0,
5748,5457,16654,2023-09-06 12:44:36.0,
9571941,83,12299,2023-09-06 14:24:37.0,
3069,59235,12564,2023-09-06 16:52:37.0,
8575265 Nitrogen ,92662,15749,2023-09-06 18:32:28.0,
496684,92667,15716,2023-09-07 13:48:32.0,
5750,5457,16703,2023-09-07 14:45:20.0,
8575258 AM Spec,92662,15752,2023-09-07 15:30:16.0,
5692,5457,14559,2023-09-07 15:58:25.0,
8271085,92667,14445,2023-09-07 20:00:49.0,
9156,16215,12556,2023-09-07 20:38:57.0,
496580,92667,16732,2023-09-08 14:48:02.0,
5758,5457,14392,2023-09-08 16:11:13.0,
DBG,0,13577,2023-09-08 16:17:41.0,
3070,59235,11200,2023-09-08 18:47:49.0,
8271057,92667,16684,2023-09-08 21:10:29.0,
329,92701,14061,2023-09-08 22:46:35.0,
PROD1109,92698,14125,2023-09-11 09:52:23.0,2023-12-14 11:49:13.0
9157,16215,12558,2023-09-11 15:35:05.0,
5754,5457,16736,2023-09-11 17:37:15.0,
5740,5457,16738,2023-09-11 17:39:50.0,
8575266 Nitrogen ,92662,15824,2023-09-11 18:09:21.0,
J23341,92758,15184,2023-09-12 15:25:19.0,
8575229 Rental ,92662,15820,2023-09-12 17:39:34.0,
39533,0,13995,2023-09-12 17:41:29.0,
9158,16215,12559,2023-09-12 18:54:07.0,
5693,5457,14557,2023-09-13 10:49:20.0,
9159,16215,4327,2023-09-13 14:00:18.0,
8575267 Nitrogen ,92662,15829,2023-09-13 17:37:49.0,
9160,16215,11437,2023-09-13 21:32:33.0,
8271069,92667,15727,2023-09-13 23:04:13.0,
8271070,92667,16971,2023-09-13 23:23:38.0,
5865,5457,16985,2023-09-14 10:57:03.0,
5759,5457,14440,2023-09-14 11:29:20.0,
8575259 Glass Craft ,92662,17000,2023-09-14 16:00:27.0,
3072,59235,11184,2023-09-14 16:15:42.0,
9161,16215,5724,2023-09-14 16:30:18.0,
J23356,92758,15159,2023-09-14 17:43:54.0,
248,92673,13872,2023-09-14 20:27:22.0,
3071,59235,12560,2023-09-14 20:39:39.0,
8575260 Glass Graft ,92662,15838,2023-09-15 13:54:56.0,
9162,16215,11409,2023-09-15 16:36:08.0,
329,35240,14871,2023-09-15 18:01:27.0,
2111,92728,9249,2023-09-15 18:47:43.0,
1491096,92666,9534,2023-09-15 21:22:34.0,
383,92732,14345,2023-09-17 16:06:48.0,
5753,5457,13650,2023-09-18 19:23:10.0,
9164,16215,8717,2023-09-18 19:51:14.0,
496670,92667,15713,2023-09-19 11:36:41.0,
9571968,83,12303,2023-09-19 14:49:06.0,
9165,16215,8657,2023-09-19 15:51:44.0,
5751,5457,12775,2023-09-19 17:22:09.0,
8575208 Rental ,92662,15831,2023-09-19 18:33:03.0,
J23830,92758,15204,2023-09-20 12:06:41.0,
5338,92652,16848,2023-09-20 12:54:03.0,
496625,92667,15700,2023-09-20 15:40:18.0,
8575171 Rental ,92662,17405,2023-09-20 17:49:35.0,
221030,0,15917,2023-09-20 22:10:19.0,
9168,16215,3049,2023-09-21 13:23:22.0,
8575173 Rental ,92662,13456,2023-09-21 17:47:52.0,
1491137,92666,16333,2023-09-21 23:06:58.0,
8575261 Action ,92662,15819,2023-09-22 12:44:57.0,
9571805,83,12301,2023-09-22 14:04:21.0,
9170,16215,2837,2023-09-22 15:21:14.0,
5343,92652,16562,2023-09-22 15:45:18.0,
1491138,92666,16360,2023-09-22 18:05:32.0,
8575256 AM Spec ,92662,16408,2023-09-22 18:39:30.0,
1491139,92666,16335,2023-09-22 20:20:10.0,
1491140,92666,16363,2023-09-22 23:42:46.0,
347,92701,14010,2023-09-22 23:50:44.0,
496669,92667,15714,2023-09-25 16:30:47.0,
8575257 Am Spec ,92662,16440,2023-09-25 17:27:48.0,
5760,5457,12773,2023-09-25 19:58:32.0,
201073,92764,16545,2023-09-26 14:39:08.0,
813624,92664,16205,2023-09-26 14:48:30.0,
201069,92764,16705,2023-09-26 16:11:33.0,
221021,92764,16698,2023-09-26 18:41:56.0,
221042,92764,16126,2023-09-26 18:46:29.0,
221041,92764,16087,2023-09-26 18:52:36.0,
813625,92664,16573,2023-09-26 19:05:32.0,
9571961,83,14732,2023-09-26 19:29:55.0,
496683,92667,14711,2023-09-26 19:59:46.0,
231083,92764,16089,2023-09-26 20:15:32.0,
242,92673,13864,2023-09-26 21:15:11.0,
2750069,92765,12683,2023-09-27 03:39:20.0,
221080,92764,16702,2023-09-27 13:34:00.0,
241032,92764,16583,2023-09-27 13:38:07.0,
8575290 Brannon ,92662,16436,2023-09-27 14:18:57.0,
201099,92764,16576,2023-09-27 14:20:40.0,
201078,92764,16107,2023-09-27 15:09:35.0,
5765,5457,12776,2023-09-27 16:06:37.0,
201018,92764,16109,2023-09-27 16:28:03.0,
221043,92764,16685,2023-09-27 17:57:54.0,
8575215 Rental ,92662,16404,2023-09-28 13:23:52.0,
221039,92764,16561,2023-09-28 14:10:03.0,
267,92626,15106,2023-09-28 14:38:38.0,
265,92626,15120,2023-09-28 14:45:23.0,
J23339,92758,15189,2023-09-28 15:18:58.0,
J23351,92758,15185,2023-09-28 15:29:37.0,
201102,92764,16677,2023-09-28 17:14:41.0,
C475R476,92597,14617,2023-09-28 17:46:41.0,
5510,98,13979,2023-09-28 18:16:46.0,
9571967,83,10593,2023-09-28 19:01:26.0,
231080,92764,16692,2023-09-28 19:55:33.0,
353,92701,14062,2023-09-28 22:42:21.0,
272579,92666,12756,2023-09-28 23:29:46.0,
322532,0,15225,2023-09-29 04:12:55.0,
231081,92764,16577,2023-09-29 13:34:44.0,
496623,92667,14705,2023-09-29 15:17:08.0,
8575174 Rental ,92662,16454,2023-09-29 19:00:06.0,
241001,92764,16696,2023-09-29 19:26:04.0,
812,35239,14817,2023-09-30 00:14:13.0,
201074,92764,16068,2023-09-30 13:59:03.0,
231078,92764,16699,2023-09-30 16:05:26.0,
8575176 Rental ,92662,17688,2023-09-30 16:43:31.0,
135,92686,11324,2023-09-30 16:44:43.0,
201079,92764,16115,2023-09-30 18:44:28.0,
5763,5457,12274,2023-10-02 14:13:28.0,
1461249,92750,14459,2023-10-02 22:39:49.0,
525460,354,17122,2023-10-03 04:59:29.0,
231097,92764,16075,2023-10-03 10:47:12.0,
221015,92764,16586,2023-10-03 14:11:42.0,
231096,92764,16066,2023-10-03 16:27:49.0,
8575177 Rental ,92662,16441,2023-10-03 18:04:16.0,
961,16215,5625,2023-10-03 19:25:16.0,
496680,92667,15717,2023-10-03 20:44:05.0,
